,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,predict
356,NFLX,2018-06-15 00:00:00+00:00,391.98,398.86,387.51,390.71,13588114.0,391.98,398.86,387.51,390.71,13588114.0,0.0,1.0,391.98
357,NFLX,2018-06-18 00:00:00+00:00,390.4,393.16,386.5,387.72,6824794.0,390.4,393.16,386.5,387.72,6824794.0,0.0,1.0,390.40000000000003
358,NFLX,2018-06-19 00:00:00+00:00,404.98,405.29,388.5,389.5,16697104.0,404.98,405.29,388.5,389.5,16697104.0,0.0,1.0,404.98
359,NFLX,2018-06-20 00:00:00+00:00,416.76,419.4675,409.6,415.15,16494572.0,416.76,419.4675,409.6,415.15,16494572.0,0.0,1.0,416.75999999999993
360,NFLX,2018-06-21 00:00:00+00:00,415.44,423.2056,406.3701,421.38,18389936.0,415.44,423.2056,406.3701,421.38,18389936.0,0.0,1.0,415.43999999999994
361,NFLX,2018-06-22 00:00:00+00:00,411.09,420.5,409.651,419.98,10428621.0,411.09,420.5,409.651,419.98,10428621.0,0.0,1.0,411.09
362,NFLX,2018-06-25 00:00:00+00:00,384.48,405.99,378.75,404.69,22490922.0,384.48,405.99,378.75,404.69,22490922.0,0.0,1.0,384.48
363,NFLX,2018-06-26 00:00:00+00:00,399.39,404.78,389.05,393.28,15191157.0,399.39,404.78,389.05,393.28,15191157.0,0.0,1.0,399.39
364,NFLX,2018-06-27 00:00:00+00:00,390.39,411.5865,390.0,407.56,16541426.0,390.39,411.5865,390.0,407.56,16541426.0,0.0,1.0,390.39
365,NFLX,2018-06-28 00:00:00+00:00,395.42,396.9,387.1,395.0,12219888.0,395.42,396.9,387.1,395.0,12219888.0,0.0,1.0,395.42
366,NFLX,2018-06-29 00:00:00+00:00,391.43,401.3299,390.55,399.19,9252511.0,391.43,401.3299,390.55,399.19,9252511.0,0.0,1.0,391.43
367,NFLX,2018-07-02 00:00:00+00:00,398.18,398.38,380.0,385.45,8142457.0,398.18,398.38,380.0,385.45,8142457.0,0.0,1.0,398.18
368,NFLX,2018-07-03 00:00:00+00:00,390.52,399.98,389.5,399.49,5280344.0,390.52,399.98,389.5,399.49,5280344.0,0.0,1.0,390.52
369,NFLX,2018-07-05 00:00:00+00:00,398.39,399.24,390.86,393.8003,8448937.0,398.39,399.24,390.86,393.8003,8448937.0,0.0,1.0,398.39
370,NFLX,2018-07-06 00:00:00+00:00,408.25,408.6495,395.5225,397.45,8629606.0,408.25,408.6495,395.5225,397.45,8629606.0,0.0,1.0,408.24999999999994
371,NFLX,2018-07-09 00:00:00+00:00,418.97,419.12,411.1,415.95,11127477.0,418.97,419.12,411.1,415.95,11127477.0,0.0,1.0,418.9699999999999
372,NFLX,2018-07-10 00:00:00+00:00,415.63,419.44,413.08,417.24,9382944.0,415.63,419.44,413.08,417.24,9382944.0,0.0,1.0,415.62999999999994
373,NFLX,2018-07-11 00:00:00+00:00,418.65,419.77,410.6,411.34,9713904.0,418.65,419.77,410.6,411.34,9713904.0,0.0,1.0,418.6499999999999
374,NFLX,2018-07-12 00:00:00+00:00,413.5,416.79,407.8,415.1553,12743273.0,413.5,416.79,407.8,415.1553,12743273.0,0.0,1.0,413.50000000000006
375,NFLX,2018-07-13 00:00:00+00:00,395.8,410.0,395.081,409.19,15747266.0,395.8,410.0,395.081,409.19,15747266.0,0.0,1.0,395.8
376,NFLX,2018-07-16 00:00:00+00:00,400.48,403.355,391.75,398.98,22959984.0,400.48,403.355,391.75,398.98,22959984.0,0.0,1.0,400.48
377,NFLX,2018-07-17 00:00:00+00:00,379.48,385.0,344.0,346.95,58410362.0,379.48,385.0,344.0,346.95,58410362.0,0.0,1.0,379.48
378,NFLX,2018-07-18 00:00:00+00:00,375.13,383.13,372.3552,381.24,21746266.0,375.13,383.13,372.3552,381.24,21746266.0,0.0,1.0,375.13
379,NFLX,2018-07-19 00:00:00+00:00,364.23,375.749,363.0,371.06,16878681.0,364.23,375.749,363.0,371.06,16878681.0,0.0,1.0,364.23
380,NFLX,2018-07-20 00:00:00+00:00,361.05,370.5,360.14,364.92,15113740.0,361.05,370.5,360.14,364.92,15113740.0,0.0,1.0,361.05
381,NFLX,2018-07-23 00:00:00+00:00,362.66,363.9,353.6,359.1453,11505232.0,362.66,363.9,353.6,359.1453,11505232.0,0.0,1.0,362.66
382,NFLX,2018-07-24 00:00:00+00:00,357.32,367.4,354.56,366.94,12851457.0,357.32,367.4,354.56,366.94,12851457.0,0.0,1.0,357.32
383,NFLX,2018-07-25 00:00:00+00:00,362.87,363.28,355.65,357.57,8516248.0,362.87,363.28,355.65,357.57,8516248.0,0.0,1.0,362.87000000000006
384,NFLX,2018-07-26 00:00:00+00:00,363.09,365.54,356.625,358.19,6993684.0,363.09,365.54,356.625,358.19,6993684.0,0.0,1.0,363.0899999999999
385,NFLX,2018-07-27 00:00:00+00:00,355.21,367.0,351.65,366.85,8949491.0,355.21,367.0,351.65,366.85,8949491.0,0.0,1.0,355.21
386,NFLX,2018-07-30 00:00:00+00:00,334.96,352.03,334.0201,351.93,18260710.0,334.96,352.03,334.0201,351.93,18260710.0,0.0,1.0,334.96
387,NFLX,2018-07-31 00:00:00+00:00,337.45,342.5,328.0,331.51,14085369.0,337.45,342.5,328.0,331.51,14085369.0,0.0,1.0,337.45
388,NFLX,2018-08-01 00:00:00+00:00,338.38,344.41,334.02,335.87,7790477.0,338.38,344.41,334.02,335.87,7790477.0,0.0,1.0,338.38
389,NFLX,2018-08-02 00:00:00+00:00,344.5,345.0,334.71,337.23,7131328.0,344.5,345.0,334.71,337.23,7131328.0,0.0,1.0,344.5
390,NFLX,2018-08-03 00:00:00+00:00,343.09,347.86,338.4768,347.75,8848367.0,343.09,347.86,338.4768,347.75,8848367.0,0.0,1.0,343.09
391,NFLX,2018-08-06 00:00:00+00:00,350.92,351.98,341.74,342.8653,8198076.0,350.92,351.98,341.74,342.8653,8198076.0,0.0,1.0,350.92
392,NFLX,2018-08-07 00:00:00+00:00,351.83,357.31,349.01,353.23,7970930.0,351.83,357.31,349.01,353.23,7970930.0,0.0,1.0,351.83
393,NFLX,2018-08-08 00:00:00+00:00,347.61,352.29,346.61,352.21,5402465.0,347.61,352.29,346.61,352.21,5402465.0,0.0,1.0,347.61
394,NFLX,2018-08-09 00:00:00+00:00,349.36,352.439,345.8157,347.96,4820313.0,349.36,352.439,345.8157,347.96,4820313.0,0.0,1.0,349.36
395,NFLX,2018-08-10 00:00:00+00:00,345.87,349.1,344.4233,346.91,4337481.0,345.87,349.1,344.4233,346.91,4337481.0,0.0,1.0,345.87
396,NFLX,2018-08-13 00:00:00+00:00,341.31,347.19,339.07,339.89,6893649.0,341.31,347.19,339.07,339.89,6893649.0,0.0,1.0,341.31
397,NFLX,2018-08-14 00:00:00+00:00,337.49,342.41,336.25,342.09,5805182.0,337.49,342.41,336.25,342.09,5805182.0,0.0,1.0,337.49
398,NFLX,2018-08-15 00:00:00+00:00,326.4,335.4962,321.0,334.03,11784485.0,326.4,335.4962,321.0,334.03,11784485.0,0.0,1.0,326.40000000000003
399,NFLX,2018-08-16 00:00:00+00:00,322.44,331.17,321.2138,329.9,6689733.0,322.44,331.17,321.2138,329.9,6689733.0,0.0,1.0,322.44
400,NFLX,2018-08-17 00:00:00+00:00,316.78,324.365,312.96,319.01,10407908.0,316.78,324.365,312.96,319.01,10407908.0,0.0,1.0,316.78
401,NFLX,2018-08-20 00:00:00+00:00,327.73,331.6,310.928,314.64,13591100.0,327.73,331.6,310.928,314.64,13591100.0,0.0,1.0,327.73
402,NFLX,2018-08-21 00:00:00+00:00,338.02,341.5,329.7,331.0,14783246.0,338.02,341.5,329.7,331.0,14783246.0,0.0,1.0,338.02
